Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
60,Miles Bridges,SF,25,CHO,45,43,37.2,8.2,17.7,.464,2.5,6.6,.378,5.7,11.1,.515,.535,2.6,3.1,.850,1.0,6.4,7.4,3.4,1.1,0.6,2.0,1.9,21.6
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
61,Oshae Brissett,SF,25,BOS,37,0,10.8,1.2,2.7,.460,0.3,1.1,.293,0.9,1.6,.576,.520,0.9,1.4,.673,1.0,1.8,2.8,0.8,0.4,0.1,0.3,1.0,3.8
62,Malcolm Brogdon,PG,31,POR,39,25,28.7,5.6,12.7,.440,2.1,5.1,.412,3.5,7.6,.458,.522,2.4,3.0,.819,0.7,3.1,3.8,5.5,0.7,0.2,1.5,1.5,15.7
63,Armoni Brooks,PG,25,BRK,10,0,10.4,1.5,4.6,.326,1.1,3.2,.344,0.4,1.4,.286,.446,0.1,0.2,.500,0.7,1.1,1.8,0.5,0.1,0.1,0.3,0.3,4.2
64,Dillon Brooks,SF,28,HOU,47,47,31.2,4.9,11.1,.443,2.0,5.0,.394,2.9,6.1,.484,.533,2.0,2.4,.847,0.8,2.7,3.5,1.6,0.9,0.1,1.4,3.6,13.8
65,Bruce Brown,SG-PG,27,TOT,49,38,28.6,4.3,9.1,.471,0.9,2.7,.316,3.4,6.3,.537,.518,1.8,2.1,.857,0.8,3.7,4.5,2.8,1.0,0.3,1.1,2.3,11.2
65,Bruce Brown,SG,27,IND,33,33,29.7,4.5,9.5,.475,1.0,3.1,.327,3.5,6.5,.545,.527,2.0,2.5,.817,0.8,3.9,4.7,3.0,1.1,0.2,1.2,2.5,12.1
65,Bruce Brown,PG,27,TOR,16,5,26.3,3.8,8.1,.462,0.6,2.0,.281,3.2,6.1,.520,.496,1.4,1.4,1.000,0.9,3.2,4.1,2.3,0.8,0.5,0.9,2.1,9.5
66,Charlie Brown Jr.,SG,26,NYK,6,0,5.5,0.3,1.5,.222,0.3,1.0,.333,0.0,0.5,.000,.333,0.0,0.0,,0.2,0.2,0.3,0.0,0.0,0.3,0.3,0.8,1.0
67,Greg Brown III,PF,22,DAL,6,0,6.7,0.8,1.8,.455,0.2,0.5,.333,0.7,1.3,.500,.500,0.7,1.5,.444,0.5,1.0,1.5,0.7,0.0,0.7,0.7,0.8,2.5
68,Jaylen Brown,SF,27,BOS,52,52,33.4,8.6,17.3,.495,2.0,5.7,.346,6.6,11.6,.569,.552,3.0,4.2,.711,1.1,4.4,5.5,3.8,1.1,0.6,2.4,2.6,22.1
69,Kendall Brown,SG,20,IND,5,0,4.0,0.6,1.2,.500,0.0,0.2,.000,0.6,1.0,.600,.500,0.8,1.2,.667,0.4,0.0,0.4,0.4,0.0,0.0,0.0,0.8,2.0
70,Kobe Brown,PF,24,LAC,32,0,8.7,0.7,1.9,.371,0.4,1.2,.308,0.3,0.7,.478,.468,0.0,0.1,.500,0.3,1.1,1.4,0.5,0.2,0.1,0.2,1.3,1.8
71,Moses Brown,C,24,POR,9,4,9.1,1.0,2.3,.429,0.0,0.0,,1.0,2.3,.429,.429,0.0,0.4,.000,2.0,3.1,5.1,0.2,0.2,0.3,0.4,1.2,2.0
72,Troy Brown Jr.,SF,24,TOT,42,3,11.5,1.5,3.4,.430,0.9,2.4,.364,0.6,1.0,.581,.556,0.5,0.6,.875,0.4,1.7,2.1,1.0,0.2,0.0,0.5,0.7,4.3
72,Troy Brown Jr.,SF,24,MIN,37,3,11.1,1.4,3.2,.441,0.8,2.3,.369,0.6,0.9,.618,.572,0.5,0.6,.864,0.4,1.6,1.9,0.9,0.2,0.1,0.5,0.7,4.2
72,Troy Brown Jr.,SF,24,DET,5,0,14.8,1.8,4.8,.375,1.0,3.0,.333,0.8,1.8,.444,.479,0.4,0.4,1.000,0.4,2.8,3.2,1.2,0.2,0.0,0.6,1.0,5.0
73,Jalen Brunson,PG,27,NYK,54,54,36.0,9.8,20.4,.479,2.6,6.5,.407,7.1,13.9,.513,.544,5.4,6.4,.843,0.6,3.2,3.8,6.6,0.9,0.2,2.5,2.0,27.6
74,Thomas Bryant,C,26,MIA,25,3,10.4,1.8,3.1,.571,0.0,0.2,.000,1.8,2.9,.603,.571,0.7,0.9,.818,1.0,2.1,3.1,0.6,0.2,0.2,0.6,1.0,4.2
75,Kobe Bufkin,SG,20,ATL,5,0,5.0,0.6,2.0,.300,0.4,1.4,.286,0.2,0.6,.333,.400,0.2,0.4,.500,0.4,0.8,1.2,0.2,0.0,0.0,0.2,0.2,1.8
76,Reggie Bullock,SF,32,HOU,23,0,9.4,0.9,2.2,.420,0.7,1.7,.410,0.2,0.5,.455,.580,0.0,0.0,1.000,0.1,1.3,1.4,0.4,0.2,0.1,0.2,0.5,2.6
77,Alec Burks,SG,32,TOT,48,1,20.9,3.7,9.6,.387,2.3,5.8,.395,1.4,3.8,.375,.505,2.7,3.0,.890,0.4,2.1,2.5,1.5,0.4,0.2,0.8,1.5,12.4
77,Alec Burks,SG,32,DET,43,0,21.0,3.7,9.4,.394,2.3,5.7,.401,1.4,3.7,.384,.516,2.8,3.1,.903,0.4,2.2,2.6,1.6,0.5,0.3,0.7,1.5,12.6
77,Alec Burks,SG,32,NYK,5,1,20.2,3.6,10.8,.333,2.0,5.8,.345,1.6,5.0,.320,.426,1.6,2.2,.727,0.4,1.6,2.0,0.8,0.0,0.0,1.4,1.2,10.8
